Time;SPINE_BASE;SPINE_MID;NECK;HEAD;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;SPINE_SHOULDER;HAND_TIP_LEFT;THUMB_LEFT;HAND_TIP_RIGHT;THUMB_RIGHT
1295;-0.10651009,0.34594125,2.4157386;-0.110497385,0.41321954,2.4502885;-0.10502036,0.76613396,2.4379923;-0.100619726,0.9117593,2.4007337;-0.26030618,0.6569257,2.4306085;-0.40346164,0.4638478,2.3703344;-0.49092114,0.3226253,2.2133439;-0.5238671,0.2638964,2.13892;0.05189598,0.6556697,2.4690762;0.20811264,0.447061,2.4561558;0.3234958,0.2927226,2.3429172;0.3616757,0.2326366,2.2879844;-0.17659071,0.27630132,2.3943028;-0.21658935,-0.11433844,2.3322132;-0.2310547,-0.4031054,2.3341048;-0.19369659,-0.47878155,2.3859556;-0.037169237,0.2694896,2.4222646;-0.044075176,-0.1390973,2.4359987;-0.07257539,-0.43023577,2.4807205;-0.064867504,-0.48935425,2.4034202;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1328;-0.10856572,0.34619597,2.412673;-0.111696236,0.41341117,2.4475212;-0.106719986,0.76613283,2.4338925;-0.10773243,0.91006607,2.3947976;-0.26294398,0.6572977,2.4293642;-0.40394658,0.4618194,2.3800318;-0.48210993,0.3156656,2.2279456;-0.5027809,0.24740562,2.1540506;0.04867795,0.65857154,2.4561014;0.20108442,0.44943893,2.4443443;0.2806493,0.28709093,2.3128033;0.3066122,0.22420439,2.257168;-0.17871797,0.27643612,2.3923023;-0.21901192,-0.113344006,2.335323;-0.2316628,-0.40345418,2.336029;-0.1926725,-0.48094085,2.396689;-0.03979282,0.26971346,2.4177868;-0.045016896,-0.13878922,2.4330332;-0.07250713,-0.42964178,2.4777896;-0.06673687,-0.4886552,2.39972;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1360;-0.11085298,0.34651664,2.4100313;-0.113049485,0.4137881,2.444833;-0.108321875,0.7667232,2.4290895;-0.1140443,0.908563,2.3894553;-0.26586345,0.6575814,2.428253;-0.39999193,0.45898217,2.3902082;-0.46107596,0.29963595,2.2507572;-0.47286558,0.22377746,2.1759589;0.045613736,0.66068274,2.444435;0.18353686,0.4546104,2.4321952;0.2414975,0.28406534,2.2983084;0.24731633,0.2162842,2.2388275;-0.18148226,0.27664372,2.390926;-0.22140059,-0.11265756,2.3383534;-0.23254296,-0.40413216,2.3388584;-0.22413999,-0.4623248,2.3024888;-0.042467866,0.2701352,2.4140055;-0.04609121,-0.13853295,2.4306324;-0.07243548,-0.4291297,2.4754355;-0.068560064,-0.48798978,2.3967686;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1396;-0.11356186,0.34689668,2.4075854;-0.114858024,0.41438964,2.4418876;-0.11014407,0.7679663,2.4237795;-0.1198403,0.9069532,2.3841581;-0.269005,0.6577672,2.427281;-0.39257142,0.45498115,2.400078;-0.43905768,0.28253436,2.272042;-0.44496882,0.20097104,2.1987267;0.042876422,0.66189474,2.4357805;0.17052554,0.45715666,2.4244156;0.19077125,0.27512318,2.2903225;0.18703516,0.20372547,2.2278194;-0.18477412,0.27691537,2.390047;-0.22340634,-0.11228724,2.3408918;-0.23296927,-0.40619746,2.3476343;-0.21037696,-0.46954763,2.365356;-0.04541249,0.27074012,2.41058;-0.047286943,-0.13828436,2.4286168;-0.07240377,-0.42873362,2.473608;-0.07015669,-0.48746628,2.394551;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1427;-0.11637146,0.34724122,2.40543;-0.117027715,0.41506848,2.438723;-0.112377346,0.76913756,2.4181306;-0.124989405,0.9053138,2.378945;-0.2725231,0.65798444,2.42634;-0.38228598,0.4505586,2.4099967;-0.41535276,0.2650744,2.2949107;-0.41571903,0.18054616,2.2234588;0.040358473,0.662808,2.4295962;0.1516405,0.45700526,2.4173553;0.15390278,0.26758105,2.2872868;0.13782407,0.18431833,2.2215445;-0.18810503,0.27716982,2.3894913;-0.22510757,-0.11221775,2.343045;-0.23004466,-0.41204333,2.3695104;-0.22123498,-0.47049507,2.3319237;-0.04808699,0.2713154,2.40787;-0.04846863,-0.13805614,2.4269476;-0.07245563,-0.4284453,2.4721527;-0.071609445,-0.4870699,2.3928308;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1459;-0.119267456,0.34735873,2.4034321;-0.1196034,0.41556475,2.4351974;-0.11491179,0.76987386,2.4123406;-0.1286704,0.904332,2.3748734;-0.27567443,0.65801233,2.425157;-0.36894652,0.44176373,2.4217064;-0.40094525,0.2539088,2.3074908;-0.39320058,0.16399086,2.242293;0.038199592,0.6633603,2.4252262;0.12977281,0.4540562,2.413001;0.12304777,0.26026776,2.286844;0.10615222,0.17447968,2.222485;-0.19120665,0.27727497,2.3890703;-0.22670864,-0.11261806,2.3451905;-0.22645895,-0.41730052,2.388936;-0.22388579,-0.4721915,2.3243756;-0.050680485,0.27176052,2.4056344;-0.049758926,-0.13784787,2.425408;-0.07296629,-0.42801392,2.4703066;-0.073625594,-0.4864198,2.3907328;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1496;-0.12235706,0.34719324,2.4014673;-0.12263605,0.41575843,2.43131;-0.11765952,0.7702156,2.4070275;-0.13199617,0.9036933,2.3710766;-0.27886093,0.658111,2.423441;-0.3597904,0.43328136,2.4295926;-0.3848018,0.2398688,2.319489;-0.37629873,0.15352386,2.2582495;0.036110893,0.66354424,2.4219728;0.1128324,0.44928595,2.4113386;0.1017892,0.25192448,2.2877614;0.07365859,0.161528,2.2257206;-0.19425446,0.27721226,2.3886526;-0.22824432,-0.113585815,2.3476045;-0.2236355,-0.420942,2.4029212;-0.22499734,-0.47374514,2.3212893;-0.05336204,0.27198702,2.4036527;-0.051283155,-0.13763449,2.4234695;-0.07347256,-0.42734084,2.4677854;-0.07510286,-0.48562753,2.388303;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1529;-0.12630358,0.3463828,2.3992074;-0.12705748,0.41529626,2.4263785;-0.1238979,0.7699682,2.3995588;-0.13465492,0.90372735,2.367688;-0.28326222,0.6578911,2.4206958;-0.35391375,0.42262992,2.434847;-0.37162098,0.22350708,2.3298962;-0.3650601,0.14507735,2.2716238;0.032440163,0.66333777,2.4193933;0.09445415,0.43947464,2.4108164;0.08095509,0.23976806,2.2908132;0.056050517,0.15459222,2.228196;-0.1977307,0.27661765,2.3881254;-0.2296957,-0.11526534,2.3501627;-0.221888,-0.42333663,2.411088;-0.22457655,-0.47629932,2.3206422;-0.05650442,0.27191293,2.4016905;-0.053259358,-0.13784473,2.4193676;-0.07418317,-0.42641544,2.4624047;-0.07640935,-0.4846315,2.383405;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1559;-0.13170168,0.34442642,2.3964875;-0.13278787,0.41379508,2.4207735;-0.13008785,0.7693398,2.3932328;-0.1378855,0.9039523,2.3639436;-0.28931573,0.656836,2.4166036;-0.35122564,0.4141321,2.4379044;-0.36494032,0.21327971,2.336027;-0.35828397,0.13523822,2.2827947;0.025642795,0.66143614,2.4167104;0.083659396,0.4330559,2.410512;0.06845307,0.23375341,2.2932658;0.044351205,0.14994092,2.23002;-0.20244634,0.2750154,2.3872447;-0.23094681,-0.11712852,2.3523595;-0.22093153,-0.42470703,2.4159012;-0.22355698,-0.47859892,2.3212366;-0.06118263,0.27096587,2.3994017;-0.056978665,-0.1374798,2.4034264;-0.06910264,-0.41302428,2.4226213;-0.08423779,-0.47491524,2.422746;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1595;-0.13815846,0.34164312,2.3938;-0.13960439,0.41141304,2.4150434;-0.1389072,0.76712304,2.38635;-0.14236297,0.90384656,2.3599322;-0.29595485,0.6550393,2.412773;-0.35106906,0.40690985,2.440189;-0.36152065,0.20608006,2.340193;-0.35499865,0.12835358,2.289536;0.01663971,0.65829694,2.4138865;0.073802456,0.42724526,2.4104147;0.05990124,0.22971486,2.2949786;0.03599049,0.14735553,2.2313564;-0.20830494,0.2725841,2.386312;-0.23245151,-0.119221,2.3541322;-0.22044718,-0.42565343,2.4190774;-0.22331019,-0.48005658,2.321485;-0.06689453,0.269286,2.3971539;-0.060157493,-0.13726157,2.3738918;-0.062924325,-0.40226176,2.383726;-0.06799774,-0.4585526,2.3378165;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
