Time;SPINE_BASE;SPINE_MID;NECK;HEAD;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;SPINE_SHOULDER;HAND_TIP_LEFT;THUMB_LEFT;HAND_TIP_RIGHT;THUMB_RIGHT
1348;-0.14326796,0.3371738,2.439153;-0.1415109,0.40586215,2.427938;-0.12636162,0.7530051,2.3880427;-0.12659337,0.9235868,2.3217058;-0.29361287,0.65965664,2.4279873;-0.35169393,0.39580935,2.4465458;-0.37143442,0.17903161,2.363212;-0.36922494,0.14107405,2.323525;0.020301908,0.6408289,2.4129803;0.0705183,0.3750061,2.4227905;0.093700364,0.15479226,2.360743;0.090585515,0.12639904,2.3194492;-0.2177371,0.26746735,2.4433503;-0.2590222,-0.1258348,2.4257557;-0.26080564,-0.42091137,2.4424694;-0.2672549,-0.47374678,2.3624783;-0.071874976,0.26543292,2.4468124;-0.06353012,-0.12084121,2.4475055;-0.08742378,-0.42459416,2.4645524;-0.09504961,-0.47621968,2.3835564;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1379;-0.14220318,0.33804458,2.4377544;-0.14047116,0.40657946,2.4272408;-0.12499901,0.7538755,2.3896196;-0.12504032,0.9247544,2.3261483;-0.29276684,0.6604527,2.4296753;-0.35097978,0.4178358,2.4626386;-0.38404232,0.22067273,2.3446689;-0.38428575,0.1981669,2.299032;0.021504665,0.64096856,2.413029;0.076790206,0.39551008,2.4323936;0.10218177,0.18872422,2.3382893;0.09561892,0.18435645,2.2939672;-0.21664502,0.26871175,2.4411554;-0.25573894,-0.12568311,2.420171;-0.2570891,-0.42105013,2.435276;-0.26367813,-0.47335482,2.3548667;-0.07092688,0.2659672,2.4443104;-0.06376265,-0.12206487,2.4423916;-0.08877491,-0.42487305,2.4582822;-0.09767688,-0.47625178,2.3772223;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1411;-0.14132616,0.33909497,2.4358296;-0.139589,0.40745085,2.4262266;-0.124031425,0.7546266,2.390849;-0.123932675,0.92573607,2.3293405;-0.29215455,0.6610402,2.4308968;-0.34936965,0.43838742,2.4747522;-0.39304057,0.26989993,2.3201087;-0.40361068,0.22803693,2.2457182;0.022461655,0.64113647,2.413132;0.08073579,0.42219076,2.4494932;0.10675776,0.24178688,2.3035715;0.09628716,0.2549352,2.2666461;-0.21570587,0.27038774,2.4378095;-0.25334308,-0.12488407,2.4141703;-0.25489616,-0.42098266,2.427244;-0.26152253,-0.4726753,2.3463633;-0.07028665,0.26661342,2.4414608;-0.06406091,-0.122853674,2.4384604;-0.08985092,-0.42501384,2.453882;-0.099517666,-0.47621965,2.3728733;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1447;-0.14059927,0.34019974,2.4335403;-0.1388177,0.4084494,2.4248488;-0.12334414,0.7552932,2.3917603;-0.12317517,0.92653704,2.3314998;-0.2916866,0.6614624,2.4317222;-0.34827206,0.45190287,2.4828093;-0.40307075,0.32555652,2.2912493;-0.4217734,0.27942482,2.1933398;0.023248672,0.64145243,2.4133146;0.080272675,0.43551666,2.459668;0.09963733,0.30565307,2.224783;0.096249945,0.29087687,2.1502135;-0.21483284,0.27213925,2.4339316;-0.25204954,-0.123449996,2.408017;-0.2545057,-0.42076743,2.418028;-0.26103306,-0.47170374,2.3366244;-0.0698925,0.26731092,2.43864;-0.06441222,-0.12332533,2.4354308;-0.09062726,-0.42510828,2.4508977;-0.10069835,-0.47621673,2.3700058;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1480;-0.14006786,0.3412617,2.431004;-0.13820674,0.4095118,2.4231043;-0.12289018,0.75593287,2.3923895;-0.122638136,0.92689234,2.3332403;-0.29133996,0.66175914,2.4322734;-0.34771287,0.45910975,2.4867747;-0.40131155,0.37735343,2.2619286;-0.4306437,0.3553894,2.1476483;0.02380372,0.6418933,2.4135165;0.074727945,0.44490492,2.4694037;0.095254,0.38788912,2.1754146;0.101752795,0.37584254,2.0870354;-0.21410681,0.2736842,2.4302197;-0.25147924,-0.12179201,2.4025033;-0.25584435,-0.42012665,2.4084604;-0.26226094,-0.4701601,2.326567;-0.069784075,0.26811355,2.435667;-0.06474545,-0.123602025,2.4331248;-0.09134064,-0.4251986,2.4486475;-0.101615995,-0.47622046,2.3678925;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1513;-0.13972545,0.342454,2.427826;-0.13777001,0.4107823,2.4206827;-0.122666515,0.75665957,2.3927696;-0.12235787,0.92694527,2.3347256;-0.29110867,0.6619797,2.43258;-0.353722,0.46338925,2.4737897;-0.41364506,0.47640038,2.2193253;-0.4392241,0.48735172,2.1175303;0.024044514,0.6430097,2.4137008;0.08203985,0.44840774,2.4383533;0.09092708,0.48606977,2.143285;0.09795201,0.4833252,2.1584337;-0.21359357,0.27508292,2.426357;-0.25147793,-0.11987894,2.397562;-0.25926158,-0.41759607,2.398051;-0.2656485,-0.46639213,2.315554;-0.06986853,0.2692447,2.431953;-0.065116934,-0.1237564,2.4312618;-0.09185632,-0.42525908,2.447063;-0.10220817,-0.47622415,2.366456;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1547;-0.1396476,0.3436316,2.4242415;-0.13756281,0.41207772,2.4178388;-0.122600175,0.7573992,2.3929653;-0.1223017,0.92654383,2.336097;-0.29121578,0.6621445,2.4320767;-0.38683084,0.472065,2.4206526;-0.43098614,0.5819336,2.1735795;-0.43493897,0.5875944,2.159032;0.023897843,0.64433676,2.4137468;0.112277865,0.46112442,2.3808737;0.087649934,0.58833957,2.1188655;0.10549326,0.5787652,2.1456823;-0.21341215,0.27637166,2.4219098;-0.25186548,-0.117765315,2.3930435;-0.26282018,-0.4145851,2.3884568;-0.26888326,-0.46218342,2.3055358;-0.07018545,0.27041852,2.4281201;-0.06548897,-0.123781145,2.4297802;-0.092232525,-0.4252848,2.4459152;-0.102593176,-0.47621325,2.3654263;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1580;-0.14006273,0.34501353,2.420371;-0.13782112,0.4135684,2.4146051;-0.122828245,0.75828046,2.392933;-0.122787096,0.9256159,2.3373399;-0.29209355,0.66249865,2.4305396;-0.41968316,0.48446283,2.373696;-0.44290692,0.6596062,2.1648111;-0.44422728,0.67478454,2.157991;0.023501094,0.64604425,2.413729;0.13969533,0.47808287,2.3312774;0.12040678,0.6400424,2.1189737;0.120641485,0.6460625,2.1430326;-0.21393709,0.27762097,2.4171522;-0.2526577,-0.11579794,2.3889182;-0.2653072,-0.41298294,2.3813105;-0.27082258,-0.45978767,2.2983184;-0.070754066,0.2716268,2.4244988;-0.0658946,-0.12370157,2.4285376;-0.092526555,-0.4252907,2.445056;-0.1028362,-0.47618765,2.3646524;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1617;-0.14085115,0.34677577,2.4166107;-0.13851057,0.41540197,2.411341;-0.12374277,0.75962716,2.3927004;-0.12322652,0.92507905,2.3380985;-0.2942699,0.6634861,2.4275463;-0.45868808,0.51375645,2.3145435;-0.46894926,0.70083594,2.1248543;-0.46294743,0.7182312,2.1336286;0.023092063,0.64782107,2.4134727;0.16866003,0.5056412,2.279446;0.16520537,0.66339856,2.0819948;0.15238437,0.67508495,2.1092277;-0.21502005,0.27899766,2.412475;-0.25380242,-0.113935,2.3847938;-0.26718178,-0.4120934,2.3755093;-0.27210447,-0.4583072,2.2925527;-0.071329914,0.27281922,2.4214766;-0.06666559,-0.1231342,2.426853;-0.092796795,-0.42506042,2.444049;-0.10274246,-0.47588295,2.3637033;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1648;-0.14252064,0.3496069,2.4128084;-0.14007254,0.41809583,2.4080129;-0.12566951,0.7614478,2.3924189;-0.12397228,0.9246255,2.3384626;-0.29941764,0.6664834,2.4221096;-0.4885114,0.5484901,2.2625957;-0.51167977,0.70390296,2.077686;-0.5105789,0.730805,2.0755014;0.022437394,0.6500199,2.4127996;0.18038991,0.5253412,2.256131;0.20700923,0.6434159,2.0614977;0.20339619,0.6824212,2.043342;-0.21707222,0.2809465,2.40788;-0.25514343,-0.112360716,2.3807983;-0.26840496,-0.41160268,2.3712716;-0.27276468,-0.45743158,2.2883658;-0.072271205,0.2745384,2.4186738;-0.06816813,-0.12179908,2.4230988;-0.09317351,-0.4241878,2.4413562;-0.102105826,-0.4749145,2.3610847;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
