Time;SPINE_BASE;SPINE_MID;NECK;HEAD;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;SPINE_SHOULDER;HAND_TIP_LEFT;THUMB_LEFT;HAND_TIP_RIGHT;THUMB_RIGHT
1262;-0.066740535,0.26484516,2.0530944;-0.05454773,0.34013203,2.0670283;-0.052715044,0.71433413,2.065818;-0.15959962,0.8758551,2.081617;-0.1716013,0.620247,2.1846642;-0.20151599,0.4881127,2.2922986;-0.22863302,0.37010065,2.1106186;-0.23424347,0.33576515,2.0553253;0.07895722,0.61439574,1.9990047;0.1671009,0.42478073,1.8782282;0.07853364,0.29392594,1.6919692;0.028302215,0.26032892,1.6297919;-0.13284685,0.19959734,2.0741372;-0.1532642,-0.22660355,2.0882099;-0.1838896,-0.4422628,2.0873663;-0.16267219,-0.37634763,2.0830245;-0.010583736,0.2037868,2.0300891;0.047576964,-0.20490056,1.9810144;0.11507341,-0.4177546,1.9728228;0.070891425,-0.3632073,1.9549012;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1300;-0.05811898,0.25513753,2.0476983;-0.04526255,0.33265683,2.0621178;-0.04321149,0.7164897,2.0600328;-0.15795244,0.8756491,2.0841281;-0.1565335,0.6176854,2.1753044;-0.18846679,0.4874644,2.293873;-0.20820573,0.3672867,2.113083;-0.21198869,0.32963255,2.0588162;0.081269495,0.61335254,1.9907414;0.16757506,0.4272223,1.8728518;0.08369065,0.26905662,1.6868619;0.044187922,0.21095304,1.6307737;-0.11812237,0.19145773,2.070004;-0.145086,-0.24274735,2.090546;-0.17983742,-0.45759687,2.0903711;-0.16446966,-0.3859331,2.0822136;-0.006709127,0.1989219,2.0249255;0.05131823,-0.21000062,1.9866816;0.12007564,-0.4243119,1.9786228;0.07578115,-0.3679036,1.9577339;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1329;-0.049728386,0.24564756,2.0441976;-0.036076967,0.32476085,2.0584643;-0.033598263,0.7176475,2.0547566;-0.14927445,0.877015,2.086491;-0.14646287,0.6158583,2.168812;-0.17560706,0.48453924,2.2922924;-0.17614591,0.3507938,2.10335;-0.19077334,0.3169808,2.052548;0.08384296,0.6124222,1.9836178;0.16603056,0.42494568,1.8643013;0.09099117,0.240549,1.6890808;0.05602675,0.17629464,1.6381834;-0.10659713,0.18484733,2.0672874;-0.14028537,-0.25062487,2.09135;-0.17520489,-0.46839446,2.0919936;-0.16412602,-0.3906296,2.0810204;-0.0013818454,0.19188888,2.0210974;0.054762185,-0.21330267,1.9905802;0.123983696,-0.4293149,1.9827807;0.0788031,-0.37088725,1.959782;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1363;-0.037680794,0.22905654,2.041408;-0.01755312,0.2946153,2.0529199;-0.012356674,0.6608854,2.042986;-0.09446808,0.8323287,2.0910072;-0.12796591,0.5552621,2.1512666;-0.14877668,0.4163848,2.27748;-0.15329164,0.3507776,2.0781932;-0.17055416,0.32855442,2.029643;0.08602065,0.61166763,1.978545;0.1649942,0.42168677,1.8587277;0.0977084,0.22153653,1.6966977;0.06509357,0.15181696,1.6484973;-0.0856922,0.16476436,2.0645218;-0.13596506,-0.25627512,2.0907898;-0.16979717,-0.47773638,2.0903966;-0.16133118,-0.39378142,2.075526;0.007499145,0.17496358,2.0172749;0.058622297,-0.21528776,1.9932313;0.12640187,-0.43324915,1.9855177;0.080473945,-0.37272945,1.9615006;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1400;-0.030430852,0.21948586,2.0398781;-0.010485925,0.2833933,2.0505877;-0.0016568196,0.6267086,2.0366046;-0.04764651,0.80592215,2.0894732;-0.12106714,0.53276926,2.1443708;-0.1380295,0.38756153,2.2705414;-0.14468351,0.35075584,2.0703714;-0.15980439,0.3371119,2.0150185;0.08995532,0.6106499,1.9739006;0.16572022,0.4157252,1.8565443;0.1066387,0.20540619,1.7109596;0.07209794,0.137226,1.6602906;-0.076317534,0.15559497,2.063179;-0.131135,-0.2596057,2.0867624;-0.16560936,-0.4857214,2.081237;-0.15484884,-0.39469808,2.0600226;0.014786498,0.1628468,2.0150814;0.062282402,-0.21644717,1.9947602;0.12775485,-0.43671268,1.9870669;0.08087033,-0.37353274,1.9629695;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1430;-0.021804899,0.20713586,2.038772;-0.004400593,0.27384573,2.048702;0.004938977,0.6144906,2.033206;-0.029192165,0.79512703,2.0869467;-0.1156158,0.52096736,2.1400394;-0.13048187,0.37313658,2.266308;-0.13870095,0.3500829,2.0633235;-0.15268609,0.34056842,2.0034058;0.0973954,0.6062934,1.9696302;0.17389078,0.40058222,1.8613424;0.12132556,0.19400863,1.7343016;0.08502855,0.12967634,1.6835939;-0.06897859,0.14747499,2.0620208;-0.12574753,-0.26047796,2.0772967;-0.16221076,-0.4912072,2.0686715;-0.1487598,-0.39439175,2.0453832;0.022144638,0.15056904,2.014031;0.066292875,-0.21737269,1.9945813;0.12699024,-0.44093534,1.9862757;0.08029827,-0.37359473,1.9639459;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1462;-0.017085139,0.20084263,2.0382;-8.598203E-4,0.2686079,2.0475407;0.008948885,0.60690844,2.0310738;-0.018324811,0.78922033,2.0839348;-0.111944646,0.5135422,2.1372173;-0.12575291,0.36438534,2.2639391;-0.13324805,0.349056,2.0492518;-0.14279827,0.34216976,1.9785821;0.108789586,0.5986551,1.9668218;0.18869041,0.3823444,1.8720601;0.14800334,0.19261877,1.7717711;0.1089334,0.13405995,1.7208705;-0.064635605,0.14288431,2.06136;-0.12080282,-0.25932848,2.0662205;-0.16118085,-0.49406138,2.0491385;-0.14296505,-0.39399615,2.0343628;0.027031345,0.14351131,2.013504;0.069975905,-0.21794441,1.9933283;0.12441469,-0.44544807,1.9831778;0.07828763,-0.37275907,1.9632903;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1498;-0.014114337,0.19706687,2.0378113;0.0016287051,0.2650541,2.046686;0.0113781635,0.6038222,2.0303204;-0.008964423,0.7877854,2.0764909;-0.08889437,0.54673743,2.134306;-0.10681102,0.38699436,2.2574208;-0.13074453,0.34838584,2.0347066;-0.14049143,0.33823866,1.9640414;0.124255314,0.58842456,1.9663591;0.2080254,0.3640048,1.8882562;0.16345836,0.18930711,1.7925652;0.12567288,0.13127081,1.7449216;-0.06157481,0.13998912,2.0608935;-0.11184889,-0.25683346,2.0568783;-0.16905688,-0.48926175,2.0183115;-0.13552551,-0.39467534,2.0241978;0.03003039,0.13934733,2.0131617;0.07316652,-0.21808092,1.991459;0.12106119,-0.44927064,1.9789193;0.07524218,-0.37061346,1.9611175;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1531;-0.011729655,0.1947926,2.0376904;0.003668784,0.26346084,2.0461125;0.028778713,0.62305105,2.0272796;-0.00518231,0.7958041,2.0675488;-0.07426623,0.5834324,2.1369426;-0.09337304,0.41551238,2.2553809;-0.1285322,0.34832814,2.0297275;-0.13371067,0.36132756,1.9557384;0.1367625,0.58172905,1.9675038;0.21823177,0.3547889,1.896931;0.18263051,0.18081005,1.8179328;0.15247191,0.11674719,1.7771959;-0.05947693,0.1386853,2.060841;-0.10566765,-0.25444683,2.0482216;-0.1683682,-0.48851597,2.004177;-0.12653987,-0.39507136,2.016983;0.032280054,0.13666297,2.0130312;0.076402485,-0.21809508,1.9893813;0.11892978,-0.45216465,1.9752984;0.07389225,-0.3689662,1.9587984;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1562;-0.0017076873,0.20285425,2.0380023;0.015882535,0.27979845,2.0442553;0.050012317,0.6733376,2.0250711;-0.024757532,0.8294628,2.0569701;-0.0735922,0.6230124,2.152909;-0.087149635,0.4494102,2.2393348;-0.12760957,0.34911218,2.02639;-0.13190223,0.37695572,1.952723;0.14528434,0.5782994,1.9689205;0.22715883,0.34999034,1.9062262;0.20618445,0.16997343,1.8464632;0.18220976,0.100422874,1.8101894;-0.056658804,0.14371957,2.060783;-0.096328735,-0.21053413,2.027322;-0.14163102,-0.44962043,1.9995167;-0.0977849,-0.37395826,2.0161834;0.05125517,0.14509565,2.0146415;0.082788475,-0.21795367,1.9872403;0.117978126,-0.4541207,1.9737425;0.073541924,-0.36824757,1.9578838;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
